Tokens,Tags,Polarities
"['Project', 'Gutenberg', 'eBook', 'of', 'The', 'Sonnets', 'by', 'William', 'Shakespeare', 'This', 'eBook', 'is', 'for', 'the', 'use', 'of', 'anyone', 'anywhere', 'in', 'the', 'United', 'States', 'and', 'most', 'other', 'parts', 'of', 'the', 'world', 'at', 'no', 'cost', 'and', 'with', 'almost', 'no', 'restrictions', 'whatsoever', 'You', 'may', 'copy', 'it', 'give', 'it', 'away', 'or', 'it', 'under', 'the', 'terms', 'of', 'the', 'Project', 'Gutenberg', 'License', 'included', 'with', 'this', 'eBook', 'or', 'online', 'at', 'If', 'you', 'are', 'not', 'located', 'in', 'the', 'United', 'States', 'you', 'will', 'have', 'to', 'check', 'the', 'laws', 'of', 'the', 'country', 'where', 'you', 'are', 'located', 'before', 'using', 'this', 'eBook', 'Title', 'The', 'Sonnets', 'Author', 'William', 'Shakespeare', 'Release', 'Date', 'September', 'eBook', 'Most']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['recently', 'updated', 'July', 'Language', 'English', 'Produced', 'by', 'the', 'Project', 'Gutenberg', 'Shakespeare', 'Team', 'START', 'OF', 'THE', 'PROJECT', 'GUTENBERG', 'EBOOK', 'THE', 'SONNETS', 'THE', 'SONNETS', 'by', 'William', 'Shakespeare', 'I', 'From', 'fairest', 'creatures', 'we', 'desire', 'increase', 'That', 'thereby', 'beauty', 's', 'rose', 'might', 'never', 'die', 'But', 'as', 'the', 'riper', 'should', 'by', 'time', 'decease', 'His', 'tender', 'heir', 'might', 'bear', 'his', 'memory', 'But', 'thou', 'contracted', 'to', 'thine', 'own', 'bright', 'eyes', 'Feed', 'st', 'thy', 'light', 's', 'flame', 'with', 'fuel', 'Making', 'a', 'famine', 'where', 'abundance', 'lies', 'Thyself', 'thy', 'foe', 'to', 'thy', 'sweet', 'self', 'too', 'cruel', 'Thou', 'that', 'art', 'now', 'the', 'world', 's', 'fresh', 'ornament', 'And', 'only', 'herald', 'to', 'the']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['gaudy', 'spring', 'Within', 'thine', 'own', 'bud', 'buriest', 'thy', 'content', 'And', 'tender', 'churl', 'mak', 'st', 'waste', 'in', 'niggarding', 'Pity', 'the', 'world', 'or', 'else', 'this', 'glutton', 'be', 'To', 'eat', 'the', 'world', 's', 'due', 'by', 'the', 'grave', 'and', 'thee', 'II', 'When', 'forty', 'winters', 'shall', 'besiege', 'thy', 'brow', 'And', 'dig', 'deep', 'trenches', 'in', 'thy', 'beauty', 's', 'field', 'Thy', 'youth', 's', 'proud', 'livery', 'so', 'gazed', 'on', 'now', 'Will', 'be', 'a', 'tatter', 'd', 'weed', 'of', 'small', 'worth', 'held', 'Then', 'being', 'asked', 'where', 'all', 'thy', 'beauty', 'lies', 'Where', 'all', 'the', 'treasure', 'of', 'thy', 'lusty', 'days', 'To', 'say', 'within', 'thine', 'own', 'deep', 'sunken', 'eyes', 'Were', 'an', 'shame', 'and']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['thriftless', 'praise', 'How', 'much', 'more', 'praise', 'deserv', 'd', 'thy', 'beauty', 's', 'use', 'If', 'thou', 'couldst', 'answer', 'This', 'fair', 'child', 'of', 'mine', 'Shall', 'sum', 'my', 'count', 'and', 'make', 'my', 'old', 'excuse', 'Proving', 'his', 'beauty', 'by', 'succession', 'thine', 'This', 'were', 'to', 'be', 'new', 'made', 'when', 'thou', 'art', 'old', 'And', 'see', 'thy', 'blood', 'warm', 'when', 'thou', 'feel', 'st', 'it', 'cold', 'III', 'Look', 'in', 'thy', 'glass', 'and', 'tell', 'the', 'face', 'thou', 'viewest', 'Now', 'is', 'the', 'time', 'that', 'face', 'should', 'form', 'another', 'Whose', 'fresh', 'repair', 'if', 'now', 'thou', 'not', 'renewest', 'Thou', 'dost', 'beguile', 'the', 'world', 'unbless', 'some', 'mother', 'For', 'where', 'is', 'she', 'so', 'fair', 'whose']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['unear', 'd', 'womb', 'Disdains', 'the', 'tillage', 'of', 'thy', 'husbandry', 'Or', 'who', 'is', 'he', 'so', 'fond', 'will', 'be', 'the', 'tomb', 'Of', 'his', 'to', 'stop', 'posterity', 'Thou', 'art', 'thy', 'mother', 's', 'glass', 'and', 'she', 'in', 'thee', 'Calls', 'back', 'the', 'lovely', 'April', 'of', 'her', 'prime', 'So', 'thou', 'through', 'windows', 'of', 'thine', 'age', 'shalt', 'see', 'Despite', 'of', 'wrinkles', 'this', 'thy', 'golden', 'time', 'But', 'if', 'thou', 'live', 'remember', 'd', 'not', 'to', 'be', 'Die', 'single', 'and', 'thine', 'image', 'dies', 'with', 'thee', 'IV', 'Unthrifty', 'loveliness', 'why', 'dost', 'thou', 'spend', 'Upon', 'thyself', 'thy', 'beauty', 's', 'legacy', 'Nature', 's', 'bequest', 'gives', 'nothing', 'but', 'doth', 'lend', 'And', 'being', 'frank', 'she']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['lends', 'to', 'those', 'are', 'free', 'Then', 'beauteous', 'niggard', 'why', 'dost', 'thou', 'abuse', 'The', 'bounteous', 'largess', 'given', 'thee', 'to', 'give', 'Profitless', 'usurer', 'why', 'dost', 'thou', 'use', 'So', 'great', 'a', 'sum', 'of', 'sums', 'yet', 'canst', 'not', 'live', 'For', 'having', 'traffic', 'with', 'thyself', 'alone', 'Thou', 'of', 'thyself', 'thy', 'sweet', 'self', 'dost', 'deceive', 'Then', 'how', 'when', 'nature', 'calls', 'thee', 'to', 'be', 'gone', 'What', 'acceptable', 'audit', 'canst', 'thou', 'leave', 'Thy', 'unused', 'beauty', 'must', 'be', 'tombed', 'with', 'thee', 'Which', 'used', 'lives', 'th', 'executor', 'to', 'be', 'V', 'Those', 'hours', 'that', 'with', 'gentle', 'work', 'did', 'frame', 'The', 'lovely', 'gaze', 'where', 'every', 'eye', 'doth', 'dwell', 'Will', 'play', 'the', 'tyrants']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['to', 'the', 'very', 'same', 'And', 'that', 'unfair', 'which', 'fairly', 'doth', 'excel', 'For', 'time', 'leads', 'summer', 'on', 'To', 'hideous', 'winter', 'and', 'confounds', 'him', 'there', 'Sap', 'checked', 'with', 'frost', 'and', 'lusty', 'leaves', 'quite', 'gone', 'Beauty', 'o', 'and', 'bareness', 'every', 'where', 'Then', 'were', 'not', 'summer', 's', 'distillation', 'left', 'A', 'liquid', 'prisoner', 'pent', 'in', 'walls', 'of', 'glass', 'Beauty', 's', 'effect', 'with', 'beauty', 'were', 'bereft', 'Nor', 'it', 'nor', 'no', 'remembrance', 'what', 'it', 'was', 'But', 'flowers', 'distill', 'd', 'though', 'they', 'with', 'winter', 'meet', 'Leese', 'but', 'their', 'show', 'their', 'substance', 'still', 'lives', 'sweet', 'VI', 'Then', 'let', 'not', 'winter', 's', 'ragged', 'hand', 'deface', 'In', 'thee', 'thy', 'summer', 'ere']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['thou', 'be', 'distill', 'd', 'Make', 'sweet', 'some', 'vial', 'treasure', 'thou', 'some', 'place', 'With', 'beauty', 's', 'treasure', 'ere', 'it', 'be', 'd', 'That', 'use', 'is', 'not', 'forbidden', 'usury', 'Which', 'happies', 'those', 'that', 'pay', 'the', 'willing', 'loan', 'That', 's', 'for', 'thyself', 'to', 'breed', 'another', 'thee', 'Or', 'ten', 'times', 'happier', 'be', 'it', 'ten', 'for', 'one', 'Ten', 'times', 'thyself', 'were', 'happier', 'than', 'thou', 'art', 'If', 'ten', 'of', 'thine', 'ten', 'times', 'refigur', 'd', 'thee', 'Then', 'what', 'could', 'death', 'do', 'if', 'thou', 'shouldst', 'depart', 'Leaving', 'thee', 'living', 'in', 'posterity', 'Be', 'not', 'd', 'for', 'thou', 'art', 'much', 'too', 'fair', 'To', 'be', 'death', 's', 'conquest', 'and', 'make', 'worms', 'thine']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['heir', 'VII', 'Lo', 'in', 'the', 'orient', 'when', 'the', 'gracious', 'light', 'Lifts', 'up', 'his', 'burning', 'head', 'each', 'under', 'eye', 'Doth', 'homage', 'to', 'his', 'sight', 'Serving', 'with', 'looks', 'his', 'sacred', 'majesty', 'And', 'having', 'climb', 'd', 'the', 'heavenly', 'hill', 'Resembling', 'strong', 'youth', 'in', 'his', 'middle', 'age', 'Yet', 'mortal', 'looks', 'adore', 'his', 'beauty', 'still', 'Attending', 'on', 'his', 'golden', 'pilgrimage', 'But', 'when', 'from', 'highmost', 'pitch', 'with', 'weary', 'car', 'Like', 'feeble', 'age', 'he', 'reeleth', 'from', 'the', 'day', 'The', 'eyes', 'fore', 'duteous', 'now', 'converted', 'are', 'From', 'his', 'low', 'tract', 'and', 'look', 'another', 'way', 'So', 'thou', 'thyself', 'outgoing', 'in', 'thy', 'noon', 'Unlook', 'd', 'on', 'diest', 'unless', 'thou', 'get']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['a', 'son', 'VIII', 'Music', 'to', 'hear', 'why', 'hear', 'st', 'thou', 'music', 'sadly', 'Sweets', 'with', 'sweets', 'war', 'not', 'joy', 'delights', 'in', 'joy', 'Why', 'lov', 'st', 'thou', 'that', 'which', 'thou', 'receiv', 'st', 'not', 'gladly', 'Or', 'else', 'receiv', 'st', 'with', 'pleasure', 'thine', 'annoy', 'If', 'the', 'true', 'concord', 'of', 'sounds', 'By', 'unions', 'married', 'do', 'offend', 'thine', 'ear', 'They', 'do', 'but', 'sweetly', 'chide', 'thee', 'who', 'confounds', 'In', 'singleness', 'the', 'parts', 'that', 'thou', 'shouldst', 'bear', 'Mark', 'how', 'one', 'string', 'sweet', 'husband', 'to', 'another', 'Strikes', 'each', 'in', 'each', 'by', 'mutual', 'ordering', 'Resembling', 'sire', 'and', 'child', 'and', 'happy', 'mother', 'Who', 'all', 'in', 'one', 'one', 'pleasing', 'note', 'do', 'sing']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
